accessibility.chat.tts.says,chat.type.text.narrate
accessibility.chat.tts.textboxTitle,options.accessibility.text_background.chat
accessibility.loading.done,narrator.loading.done
accessibility.saving.done,narrator.loading.done
accessibility.list.or.three_or_more.first,createWorld.customize.flat.layer
accessibility.button.tts.title,mco.gui.button
accessibility.tab.tts.title,key.keyboard.tab
accessibility.toggle.tts.title,options.key.toggle
accessibility.button.navigateLeft,key.keyboard.left
accessibility.button.navigateRight,key.keyboard.right
accessibility.button.close,mco.selectServer.close
accessibility.button.back,gui.back
accessibility.play.editWorld,selectWorld.edit.title
accessibility.play.leaveRealm,mco.selectServer.leave
accessibility.play.uploadWorld,mco.backup.button.upload
accessibility.screenName.chat,chat_screen.title
accessibility.screenName.pause,menu.game
accessibility.settings.reset,controls.reset
accessibility.text.space,key.keyboard.space
accessibility.emotes.keyboard.arrow,entity.minecraft.arrow
accounts.signOut.fail.hyperLink.text,mco.snapshotRealmsPopup.urlText
achievement.acquireIron,advancements.story.smelt_iron.title
achievement.acquireIron.desc,advancements.story.smelt_iron.description
achievement.blaze_rod,advancements.nether.obtain_blaze_rod.title
achievement.blaze_rod.desc,advancements.nether.obtain_blaze_rod.description
achievement.bookcase,entity.minecraft.villager.librarian
achievement.buildBetterPickaxe,advancements.story.upgrade_tools.title
achievement.buildBetterPickaxe.desc,advancements.story.upgrade_tools.description
achievement.diamonds,advancements.story.mine_diamond.title
achievement.enchantments,advancements.story.enchant_item.title
achievement.exploreAllBiomes,advancements.adventure.adventuring_time.title
achievement.fullBeacon,advancements.nether.create_full_beacon.title
achievement.ghast,advancements.nether.return_to_sender.title
achievement.ghast.desc,advancements.nether.return_to_sender.description
achievement.killEnemy,advancements.adventure.kill_a_mob.title
achievement.portal,advancements.story.enter_the_nether.title
achievement.potion,advancements.nether.brew_potion.title
achievement.potion.desc,advancements.nether.brew_potion.description
achievement.snipeSkeleton,advancements.adventure.sniper_duel.title
achievement.theEnd,advancements.story.enter_the_end.title
achievement.unknown,flat_world_preset.unknown
action.interact.edit,selectWorld.edit
action.interact.saddle,item.minecraft.saddle
action.interact.name,mco.backup.entry.name
advMode.notAllowed,advMode.notAllowed
advMode.notEnabled,advMode.notEnabled
advMode.previousOutput,advMode.previousOutput
advMode.setCommand,advMode.setCommand
advMode.setCommand.success,advMode.setCommand.success
attribute.name.minecraft:attack_damage,attribute.name.generic.attack_damage
attribute.name.minecraft:follow_range,attribute.name.generic.follow_range
attribute.name.minecraft:knockback_resistance,attribute.name.generic.knockback_resistance
attribute.name.generic.maxHealth,attribute.name.generic.max_health
attribute.name.generic.attackDamage,attribute.name.generic.attack_damage
attribute.name.generic.knockbackResistance,attribute.name.generic.knockback_resistance
attribute.name.minecraft:movement,attribute.name.generic.movement_speed
attribute.name.horse.jumpStrength,attribute.name.horse.jump_strength
attribute.name.zombie.spawnReinforcements,attribute.name.zombie.spawn_reinforcements
attribution.goBack,dataPack.validation.back
eula.acceptButton,mco.invites.button.accept
book.editTitle,book.editTitle
book.finalizeButton,book.finalizeButton
book.finalizeWarning,book.finalizeWarning
book.generation.0,book.generation.0
book.generation.1,book.generation.1
book.generation.2,book.generation.2
book.generation.3,book.generation.3
book.pageIndicator,book.pageIndicator
book.signButton,book.signButton
chalkboardScreen.locked,filled_map.locked
chalkboardScreen.unlocked,narrator.button.difficulty_lock.unlocked
chat.cannotSend,chat.cannotSend
chat.copy,chat.copy
chat.link.confirm,chat.link.confirm
chat.link.confirmTrusted,chat.link.confirmTrusted
chat.link.open,chat.link.open
chat.link.warning,chat.link.warning
chat.settings,options.chat.title
chat.settings.lineSpacing,options.chat.line_spacing
chat.title,chat.editBox
chat.type.admin,chat.type.admin
chat.type.announcement,chat.type.announcement
chat.type.emote,chat.type.emote
chat.type.text,chat.type.text
chestScreen.header.large,container.chestDouble
chestScreen.header.player,container.inventory
chestScreen.header.small,container.chest
craftingScreen.tab.search,gui.socialInteractions.tab_all
craftingScreen.tab.items,stat.itemsButton
craftingScreen.tab.survival,key.categories.inventory
craftingScreen.tab.armor,attribute.name.generic.armor
credits.skip,mco.create.world.skip
cauldronScreen.header,item.minecraft.cauldron
codeScreen.buttonTTS.restore,mco.backup.button.restore
codeScreen.buttonTTS.home,key.keyboard.home
color.black,color.minecraft.black
color.gray,color.minecraft.gray
color.blue,color.minecraft.blue
color.green,color.minecraft.green
color.red,color.minecraft.red
color.yellow,color.minecraft.yellow
color.white,color.minecraft.white
commandBlockScreen.blockType.impulse,advMode.mode.redstone
commandBlockScreen.blockType.chain,block.minecraft.chain
commandBlockScreen.blockType.repeat,advMode.mode.auto
commandBlockScreen.condition.conditional,advMode.mode.conditional
commandBlockScreen.condition.unconditional,advMode.mode.unconditional
commandBlockScreen.redstone.needs_redstone,advMode.mode.redstoneTriggered
commandBlockScreen.redstone.always_on,advMode.mode.autoexec.bat
commandBlockScreen.hideOutputMode,enchantment.level.10
commandBlockScreen.title,block.minecraft.command_block
commandBlock.genericName,block.minecraft.command_block
commands.autocomplete.a,argument.entity.selector.allPlayers
commands.autocomplete.e,argument.entity.selector.allEntities
commands.autocomplete.r,argument.entity.selector.randomPlayer
commands.bossbar.list.none,commands.bossbar.list.bars.none
commands.inputpermission.movement,key.categories.movement
commands.inputpermission.enabled,addServer.resourcePack.enabled
commands.inputpermission.disabled,addServer.resourcePack.disabled
commands.itemswithtag.success.list.items,createWorld.customize.flat.layer
commands.selector.error.moreThanOne,argument.entity.toomany
commands.tagsfromitem.success.list.tags,createWorld.customize.flat.layer
commands.origin.server,pack.source.server
commands.players.list.names,createWorld.customize.flat.layer
commands.publish.failed,commands.publish.failed
commands.setblock.success,subtitles.block.generic.place
commands.stop.start,commands.stop.stopping
commands.tag.add.failed,commands.tag.add.failed
commands.tag.remove.failed,commands.tag.remove.failed
connect.authorizing,connect.authorizing
connect.connecting,connect.connecting
connect.failed,connect.failed
container.beacon,container.beacon
container.brewing,container.brewing
container.chest,container.chest
container.chestDouble,container.chestDouble
container.crafting,container.crafting
container.creative,container.creative
container.dispenser,container.dispenser
container.dropper,container.dropper
container.enchant,container.enchant
container.enchant.clue,container.enchant.clue
container.enchant.lapis.one,container.enchant.lapis.one
container.enchant.level.one,container.enchant.level.one
container.enderchest,container.enderchest
container.furnace,container.furnace
container.hopper,container.hopper
container.inventory,container.inventory
container.isLocked,container.isLocked
container.loom,container.loom
container.minecart,entity.minecraft.minecart
container.repair,container.repair
container.repair.expensive,container.repair.expensive
container.repairAndDisenchant,container.grindstone_title
container.stonecutter,container.stonecutter
container.stonecutter_block,container.stonecutter
container.smithing_table,block.minecraft.smithing_table
container.smithing_table_block,block.minecraft.smithing_table
container.smithing_table.upgrade,container.upgrade
container.shulkerbox,container.shulkerBox
container.barrel,container.barrel
controller.buttonTip.back,gui.back
controller.buttonTip.cancel,gui.cancel
controller.buttonTip.edit,selectWorld.edit
controller.buttonTip.pane.inventory,container.inventory
controller.buttonTip.remove,mco.configure.world.invites.remove.tooltip
controller.buttonTip.select,mco.template.button.select
controller.buttonTip.tab,key.keyboard.tab
controllerLayoutScreen.resetAllBindings,dataPack.validation.reset
controllerLayoutScreen.button,mco.gui.button
controllerLayoutScreen.cancel,gui.cancel
controllerLayoutScreen.save,structure_block.mode.save
controls.reset,controls.reset
controls.resetAll,controls.resetAll
controls.title,controls.title
course.edu.continueButton,gui.continue
course.edu.join,mco.configure.world.slot.tooltip.active
course.edu.learnMoreButton,mco.snapshotRealmsPopup.urlText
createWorld.customize.custom.baseSize,createWorld.customize.custom.baseSize
createWorld.customize.custom.biomeDepthOffset,createWorld.customize.custom.biomeDepthOffset
createWorld.customize.custom.biomeDepthWeight,createWorld.customize.custom.biomeDepthWeight
